dataResult,HomeWin,Draw,AwayWin
AwayWin,0.41,0.28,0.31
HomeWin,0.55,0.25,0.2
AwayWin,0.17,0.21,0.62
HomeWin,0.79,0.14,0.07
HomeWin,0.64,0.22,0.14
HomeWin,0.21,0.25,0.54
AwayWin,0.16,0.21,0.64
AwayWin,0.48,0.27,0.25
HomeWin,0.7,0.17,0.12
HomeWin,0.42,0.28,0.3
Draw,0.21,0.25,0.53
HomeWin,0.81,0.13,0.06
HomeWin,0.8,0.13,0.07
Draw,0.77,0.17,0.07
HomeWin,0.25,0.25,0.5
AwayWin,0.29,0.3,0.4
HomeWin,0.68,0.19,0.12
HomeWin,0.44,0.26,0.29
Draw,0.89,0.07,0.03
Draw,0.34,0.29,0.36
HomeWin,0.48,0.27,0.25
AwayWin,0.43,0.28,0.29
HomeWin,0.44,0.29,0.27
HomeWin,0.13,0.22,0.65
AwayWin,0.38,0.28,0.34
HomeWin,0.2,0.28,0.52
HomeWin,0.83,0.11,0.06
HomeWin,0.7,0.18,0.12
AwayWin,0.1,0.17,0.73
AwayWin,0.13,0.2,0.67
Draw,0.41,0.31,0.28
HomeWin,0.47,0.27,0.26
AwayWin,0.36,0.32,0.32
AwayWin,0.5,0.29,0.22
HomeWin,0.57,0.24,0.19
Draw,0.75,0.16,0.09
HomeWin,0.45,0.29,0.26
HomeWin,0.85,0.1,0.05
HomeWin,0.64,0.21,0.15
Draw,0.44,0.29,0.28
Draw,0.32,0.29,0.39
Draw,0.15,0.24,0.61
AwayWin,0.22,0.27,0.51
Draw,0.41,0.28,0.31
AwayWin,0.22,0.25,0.53
Draw,0.15,0.23,0.62
Draw,0.49,0.28,0.23
AwayWin,0.81,0.13,0.06
HomeWin,0.34,0.28,0.39
AwayWin,0.35,0.27,0.38
HomeWin,0.79,0.14,0.07
HomeWin,0.37,0.31,0.32
HomeWin,0.52,0.28,0.2
HomeWin,0.38,0.31,0.32
Draw,0.35,0.31,0.34
AwayWin,0.21,0.26,0.53
Draw,0.75,0.17,0.09
HomeWin,0.55,0.25,0.2
AwayWin,0.53,0.26,0.21
Draw,0.38,0.28,0.35
Draw,0.56,0.27,0.17
AwayWin,0.52,0.27,0.21
AwayWin,0.09,0.16,0.75
AwayWin,0.41,0.3,0.28
Draw,0.4,0.31,0.29
Draw,0.27,0.28,0.45
AwayWin,0.42,0.29,0.29
HomeWin,0.75,0.16,0.09
AwayWin,0.1,0.18,0.72
AwayWin,0.35,0.3,0.35
HomeWin,0.79,0.15,0.06
HomeWin,0.55,0.27,0.18
Draw,0.43,0.28,0.29
AwayWin,0.38,0.32,0.31
HomeWin,0.34,0.3,0.36
AwayWin,0.15,0.21,0.65
HomeWin,0.83,0.11,0.06
HomeWin,0.54,0.26,0.2
AwayWin,0.35,0.31,0.34
AwayWin,0.35,0.3,0.35
AwayWin,0.07,0.14,0.78
AwayWin,0.13,0.19,0.67
HomeWin,0.65,0.21,0.14
HomeWin,0.75,0.17,0.08
HomeWin,0.43,0.3,0.27
Draw,0.39,0.32,0.29
HomeWin,0.36,0.31,0.33
AwayWin,0.3,0.29,0.41
AwayWin,0.44,0.3,0.26
HomeWin,0.31,0.3,0.39
AwayWin,0.13,0.21,0.66
HomeWin,0.64,0.2,0.15
HomeWin,0.23,0.26,0.51
HomeWin,0.81,0.13,0.06
Draw,0.51,0.27,0.22
Draw,0.56,0.26,0.18
HomeWin,0.37,0.32,0.31
HomeWin,0.83,0.12,0.05
HomeWin,0.41,0.3,0.28
HomeWin,0.38,0.33,0.29
AwayWin,0.21,0.23,0.56
HomeWin,0.41,0.3,0.29
AwayWin,0.11,0.18,0.71
HomeWin,0.41,0.3,0.29
Draw,0.48,0.27,0.24
HomeWin,0.48,0.3,0.22
Draw,0.29,0.32,0.39
HomeWin,0.79,0.14,0.07
AwayWin,0.52,0.28,0.2
Draw,0.57,0.25,0.18
HomeWin,0.72,0.19,0.09
AwayWin,0.19,0.25,0.56
HomeWin,0.16,0.24,0.61
HomeWin,0.31,0.29,0.4
HomeWin,0.78,0.15,0.07
HomeWin,0.45,0.3,0.25
Draw,0.41,0.3,0.29
HomeWin,0.41,0.32,0.27
HomeWin,0.4,0.29,0.3
HomeWin,0.5,0.25,0.25
HomeWin,0.15,0.22,0.63
Draw,0.48,0.26,0.26
Draw,0.47,0.29,0.24
HomeWin,0.72,0.18,0.1
HomeWin,0.51,0.27,0.23
HomeWin,0.43,0.32,0.26
Draw,0.52,0.28,0.2
HomeWin,0.8,0.14,0.06
AwayWin,0.34,0.31,0.35
Draw,0.08,0.17,0.75
HomeWin,0.85,0.11,0.05
Draw,0.45,0.28,0.27
HomeWin,0.4,0.29,0.31
AwayWin,0.7,0.19,0.11
HomeWin,0.35,0.31,0.34
Draw,0.43,0.31,0.25
Draw,0.53,0.28,0.18
AwayWin,0.09,0.18,0.73
HomeWin,0.14,0.22,0.63
Draw,0.32,0.3,0.38
HomeWin,0.09,0.17,0.74
Draw,0.21,0.26,0.53
HomeWin,0.86,0.1,0.04
HomeWin,0.66,0.2,0.13
AwayWin,0.13,0.24,0.62
Draw,0.39,0.33,0.28
HomeWin,0.55,0.25,0.2
HomeWin,0.47,0.28,0.24
Draw,0.42,0.29,0.29
AwayWin,0.15,0.26,0.6
HomeWin,0.8,0.14,0.06
HomeWin,0.32,0.27,0.42
HomeWin,0.26,0.26,0.48
HomeWin,0.76,0.16,0.08
Draw,0.75,0.17,0.08
HomeWin,0.45,0.31,0.25
AwayWin,0.34,0.31,0.35
Draw,0.55,0.27,0.18
Draw,0.36,0.29,0.35
HomeWin,0.45,0.31,0.23
Draw,0.75,0.16,0.08
Draw,0.3,0.28,0.41
HomeWin,0.85,0.09,0.05
AwayWin,0.47,0.29,0.25
AwayWin,0.12,0.22,0.66
HomeWin,0.45,0.31,0.24
AwayWin,0.17,0.26,0.57
AwayWin,0.16,0.25,0.59
HomeWin,0.53,0.28,0.19
AwayWin,0.42,0.3,0.28
Draw,0.4,0.32,0.28
Draw,0.17,0.23,0.6
Draw,0.1,0.17,0.74
Draw,0.71,0.19,0.1
HomeWin,0.41,0.3,0.29
HomeWin,0.85,0.11,0.05
Draw,0.4,0.32,0.27
HomeWin,0.76,0.15,0.09
Draw,0.46,0.3,0.24
AwayWin,0.53,0.27,0.19
AwayWin,0.21,0.23,0.56
AwayWin,0.08,0.14,0.78
HomeWin,0.85,0.1,0.05
Draw,0.38,0.3,0.32
HomeWin,0.83,0.13,0.05
Draw,0.41,0.3,0.28
Draw,0.77,0.16,0.07
HomeWin,0.37,0.28,0.35
Draw,0.43,0.31,0.26
HomeWin,0.72,0.18,0.1
Draw,0.24,0.27,0.5
AwayWin,0.15,0.23,0.62
HomeWin,0.36,0.3,0.34
HomeWin,0.88,0.08,0.04
Draw,0.58,0.25,0.16
HomeWin,0.41,0.31,0.28
Draw,0.29,0.3,0.41
AwayWin,0.49,0.28,0.22
Draw,0.15,0.24,0.61
Draw,0.37,0.27,0.36
HomeWin,0.54,0.28,0.18
AwayWin,0.14,0.19,0.67
AwayWin,0.16,0.26,0.58
HomeWin,0.6,0.22,0.18
AwayWin,0.39,0.3,0.3
HomeWin,0.78,0.15,0.08
Draw,0.39,0.33,0.28
HomeWin,0.68,0.2,0.12
AwayWin,0.56,0.26,0.19
AwayWin,0.55,0.26,0.2
Draw,0.81,0.13,0.06
HomeWin,0.76,0.15,0.09
HomeWin,0.8,0.14,0.06
Draw,0.18,0.23,0.59
AwayWin,0.44,0.29,0.27
AwayWin,0.5,0.28,0.23
AwayWin,0.07,0.14,0.78
HomeWin,0.42,0.28,0.3
AwayWin,0.11,0.22,0.67
HomeWin,0.41,0.3,0.28
AwayWin,0.28,0.27,0.44
Draw,0.71,0.19,0.1
Draw,0.23,0.26,0.51
AwayWin,0.37,0.3,0.33
HomeWin,0.35,0.3,0.35
Draw,0.5,0.27,0.23
HomeWin,0.36,0.33,0.31
HomeWin,0.34,0.33,0.33
HomeWin,0.75,0.16,0.09
HomeWin,0.13,0.21,0.65
HomeWin,0.88,0.08,0.04
Draw,0.29,0.3,0.42
AwayWin,0.42,0.29,0.3
AwayWin,0.14,0.22,0.64
HomeWin,0.52,0.28,0.21
HomeWin,0.48,0.29,0.23
HomeWin,0.53,0.27,0.2
Draw,0.19,0.22,0.59
Draw,0.36,0.31,0.32
HomeWin,0.78,0.15,0.06
HomeWin,0.39,0.3,0.31
HomeWin,0.78,0.15,0.07
AwayWin,0.16,0.22,0.62
HomeWin,0.82,0.12,0.06
AwayWin,0.44,0.3,0.26
HomeWin,0.81,0.13,0.06
AwayWin,0.19,0.26,0.55
Draw,0.4,0.31,0.28
Draw,0.36,0.31,0.32
HomeWin,0.19,0.26,0.55
AwayWin,0.06,0.12,0.83
AwayWin,0.16,0.23,0.61
HomeWin,0.53,0.27,0.2
Draw,0.45,0.27,0.28
HomeWin,0.5,0.27,0.23
HomeWin,0.81,0.13,0.05
AwayWin,0.41,0.29,0.3
Draw,0.33,0.3,0.37
Draw,0.79,0.14,0.06
Draw,0.34,0.3,0.36
Draw,0.41,0.31,0.28
HomeWin,0.43,0.3,0.28
HomeWin,0.76,0.17,0.07
HomeWin,0.54,0.27,0.19
HomeWin,0.42,0.32,0.26
Draw,0.43,0.3,0.27
AwayWin,0.12,0.17,0.7
HomeWin,0.68,0.19,0.12
AwayWin,0.14,0.23,0.62
HomeWin,0.39,0.28,0.34
HomeWin,0.38,0.31,0.31
HomeWin,0.43,0.29,0.28
HomeWin,0.69,0.17,0.13
HomeWin,0.74,0.17,0.09
AwayWin,0.16,0.21,0.63
HomeWin,0.34,0.33,0.33
AwayWin,0.53,0.27,0.2
AwayWin,0.58,0.27,0.15
AwayWin,0.38,0.32,0.3
Draw,0.37,0.3,0.33
HomeWin,0.3,0.31,0.38
HomeWin,0.47,0.28,0.25
Draw,0.29,0.3,0.41
AwayWin,0.16,0.23,0.61
HomeWin,0.81,0.13,0.07
Draw,0.38,0.31,0.31
HomeWin,0.78,0.15,0.07
AwayWin,0.48,0.27,0.25
AwayWin,0.08,0.16,0.76
HomeWin,0.46,0.29,0.25
HomeWin,0.44,0.27,0.29
AwayWin,0.22,0.25,0.53
HomeWin,0.52,0.29,0.19
HomeWin,0.1,0.2,0.69
HomeWin,0.87,0.09,0.04
HomeWin,0.52,0.27,0.22
AwayWin,0.45,0.28,0.27
AwayWin,0.34,0.3,0.36
HomeWin,0.71,0.18,0.11
AwayWin,0.54,0.28,0.19
Draw,0.49,0.28,0.23
Draw,0.51,0.28,0.21
Draw,0.3,0.31,0.39
HomeWin,0.2,0.23,0.57
Draw,0.33,0.3,0.37
HomeWin,0.13,0.21,0.66
HomeWin,0.85,0.1,0.05
HomeWin,0.48,0.29,0.23
HomeWin,0.78,0.14,0.08
Draw,0.36,0.29,0.35
Draw,0.2,0.22,0.57
AwayWin,0.58,0.24,0.18
HomeWin,0.78,0.14,0.07
AwayWin,0.36,0.26,0.37
Draw,0.39,0.26,0.35
HomeWin,0.81,0.13,0.06
HomeWin,0.34,0.28,0.38
Draw,0.46,0.28,0.26
HomeWin,0.53,0.25,0.21
AwayWin,0.11,0.19,0.69
HomeWin,0.74,0.17,0.1
HomeWin,0.34,0.31,0.35
AwayWin,0.23,0.24,0.53
Draw,0.41,0.3,0.28
HomeWin,0.56,0.25,0.19
HomeWin,0.85,0.1,0.05
AwayWin,0.21,0.25,0.54
AwayWin,0.16,0.21,0.63
AwayWin,0.43,0.28,0.29
AwayWin,0.17,0.22,0.61
HomeWin,0.72,0.19,0.09
Draw,0.55,0.25,0.2
Draw,0.81,0.13,0.07
Draw,0.28,0.29,0.43
Draw,0.77,0.15,0.08
HomeWin,0.44,0.29,0.27
AwayWin,0.1,0.17,0.73
Draw,0.42,0.3,0.28
AwayWin,0.34,0.3,0.36
HomeWin,0.46,0.29,0.26
HomeWin,0.48,0.28,0.24
AwayWin,0.39,0.3,0.3
HomeWin,0.44,0.29,0.27
Draw,0.13,0.23,0.64
HomeWin,0.74,0.16,0.1
HomeWin,0.36,0.32,0.32
AwayWin,0.24,0.27,0.48
AwayWin,0.2,0.25,0.54
AwayWin,0.58,0.25,0.18
HomeWin,0.52,0.25,0.24
HomeWin,0.45,0.26,0.29
Draw,0.81,0.13,0.06
HomeWin,0.65,0.21,0.14
Draw,0.38,0.31,0.31
HomeWin,0.75,0.16,0.09
AwayWin,0.47,0.29,0.24
Draw,0.23,0.28,0.49
HomeWin,0.41,0.29,0.3
Draw,0.45,0.29,0.26
AwayWin,0.1,0.19,0.71
Draw,0.75,0.16,0.09
AwayWin,0.45,0.28,0.26
HomeWin,0.35,0.3,0.35
HomeWin,0.23,0.25,0.52
AwayWin,0.48,0.27,0.25
AwayWin,0.37,0.32,0.32
HomeWin,0.56,0.26,0.18
HomeWin,0.7,0.19,0.11
HomeWin,0.56,0.25,0.19
AwayWin,0.09,0.19,0.72
HomeWin,0.75,0.17,0.08
AwayWin,0.2,0.25,0.55
AwayWin,0.09,0.16,0.75
AwayWin,0.75,0.17,0.08
AwayWin,0.53,0.27,0.19
HomeWin,0.54,0.27,0.18
Draw,0.61,0.24,0.15
HomeWin,0.38,0.3,0.32
Draw,0.15,0.23,0.62
HomeWin,0.65,0.21,0.14
